/カウンタ,移動パターン,敵の種類,x座標,y座標,スピード,発射時間,弾幕の種類,弾の色,体力,弾の種類,待機時間,アイテム1,2,3,4,5
/cnt,pattern,knd,x,y,sp,bltime,blknd,col,hp,blknd2,wait,item_n[0],[1],[2],[3],[4],[5]
100,0,0,150,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
110,0,0,250,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
120,0,0,350,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
130,0,0,450,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
140,0,0,550,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
150,0,0,650,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
160,0,0,750,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
170,0,0,850,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
180,0,0,950,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
190,0,0,1050,-20,0,150,0,0,100,0,120,0,-1,-1,-1,-1,-1
